year,education,count,area_type,statefip,countyfip
2015,Some College,776008,state,nevada,
2015,Some College,335326,state,new hampshire,
2015,Some College,1784180,state,new jersey,
2015,Some College,533311,state,new mexico,
2015,Some College,4231868,state,new york,
2015,Some College,2535402,state,north carolina,
2015,Some College,235310,state,north dakota,
2015,Some College,2778384,state,ohio,
2015,Some College,964531,state,oklahoma,
2015,Some College,1143873,state,oregon,
2015,Some College,2701613,state,pennsylvania,
2015,Some College,259663,state,rhode island,
2015,Some College,1220550,state,south carolina,
2015,Some College,218296,state,south dakota,
2015,Some College,1504177,state,tennessee,
2015,Some College,6250482,state,texas,
2015,Some College,798898,state,utah,
2015,Some College,141940,state,vermont,
2015,Some College,1941021,state,virginia,
2015,Some College,1946037,state,washington,
2015,Some College,408085,state,west virginia,
2015,Some College,1497254,state,wisconsin,
2015,Some College,170527,state,wyoming,
2016,College Degree or Higher,851855,state,alabama,
2016,College Degree or Higher,146559,state,alaska,
2016,College Degree or Higher,1382853,state,arizona,
2016,College Degree or Higher,462665,state,arkansas,
2016,College Degree or Higher,9062818,state,california,
2016,College Degree or Higher,1558219,state,colorado,
2016,College Degree or Higher,1015716,state,connecticut,
2016,College Degree or Higher,219090,state,delaware,
2016,College Degree or Higher,292708,state,district of columbia,
2016,College Degree or Higher,4365505,state,florida,
2016,College Degree or Higher,2166135,state,georgia,
2016,College Degree or Higher,342432,state,hawaii,
2016,College Degree or Higher,307040,state,idaho,
2016,College Degree or Higher,3104997,state,illinois,
2016,College Degree or Higher,1196934,state,indiana,
2016,College Degree or Higher,640649,state,iowa,
2016,College Degree or Higher,657471,state,kansas,
2016,College Degree or Higher,736164,state,kentucky,
2016,College Degree or Higher,757648,state,louisiana,
2016,College Degree or Higher,307559,state,maine,
2016,College Degree or Higher,1693245,state,maryland,
2016,College Degree or Higher,2148549,state,massachusetts,
2016,College Degree or Higher,2000955,state,michigan,
2016,College Degree or Higher,1353480,state,minnesota,
2016,College Degree or Higher,445728,state,mississippi,
2016,College Degree or Higher,1229872,state,missouri,
2016,College Degree or Higher,231324,state,montana,
2016,College Degree or Higher,421529,state,nebraska,
2016,College Degree or Higher,482871,state,nevada,
2016,College Degree or Higher,368426,state,new hampshire,
2016,College Degree or Higher,2522651,state,new jersey,
2016,College Degree or Higher,390231,state,new mexico,
2016,College Degree or Higher,5173749,state,new york,
2016,College Degree or Higher,2197597,state,north carolina,
2016,College Degree or Higher,156362,state,north dakota,
2016,College Degree or Higher,2306963,state,ohio,
2016,College Degree or Higher,683052,state,oklahoma,
2016,College Degree or Higher,967097,state,oregon,
2016,College Degree or Higher,2904200,state,pennsylvania,
2016,College Degree or Higher,267967,state,rhode island,
2016,College Degree or Higher,975522,state,south carolina,
2016,College Degree or Higher,174431,state,south dakota,
2016,College Degree or Higher,1248658,state,tennessee,
2016,College Degree or Higher,5388908,state,texas,
2016,College Degree or Higher,600643,state,utah,
2016,College Degree or Higher,165305,state,vermont,
2016,College Degree or Higher,2294060,state,virginia,
2016,College Degree or Higher,1826219,state,washington,
2016,College Degree or Higher,285929,state,west virginia,
2016,College Degree or Higher,1234914,state,wisconsin,
2016,College Degree or Higher,107703,state,wyoming,
2016,HS or Equivalent,267423,state,alabama,
2016,HS or Equivalent,37075,state,alaska,
2016,HS or Equivalent,318046,state,arizona,
2016,HS or Equivalent,182170,state,arkansas,
2016,HS or Equivalent,1500419,state,california,
2016,HS or Equivalent,237028,state,colorado,
2016,HS or Equivalent,126083,state,connecticut,
2016,HS or Equivalent,37009,state,delaware,
2016,HS or Equivalent,17649,state,district of columbia,
2016,HS or Equivalent,1052678,state,florida,
2016,HS or Equivalent,512050,state,georgia,
2016,HS or Equivalent,39916,state,hawaii,
2016,HS or Equivalent,84275,state,idaho,
2016,HS or Equivalent,518133,state,illinois,
2016,HS or Equivalent,350249,state,indiana,
2016,HS or Equivalent,110165,state,iowa,
2016,HS or Equivalent,125170,state,kansas,
2016,HS or Equivalent,263926,state,kentucky,
2016,HS or Equivalent,265888,state,louisiana,
2016,HS or Equivalent,59140,state,maine,
2016,HS or Equivalent,229696,state,maryland,
2016,HS or Equivalent,231880,state,massachusetts,
2016,HS or Equivalent,441605,state,michigan,
2016,HS or Equivalent,196239,state,minnesota,
2016,HS or Equivalent,190627,state,mississippi,
2016,HS or Equivalent,273727,state,missouri,
2016,HS or Equivalent,49599,state,montana,
2016,HS or Equivalent,70098,state,nebraska,
2016,HS or Equivalent,160134,state,nevada,
2016,HS or Equivalent,55936,state,new hampshire,
2016,HS or Equivalent,303809,state,new jersey,
2016,HS or Equivalent,93669,state,new mexico,
2016,HS or Equivalent,947225,state,new york,
2016,HS or Equivalent,450266,state,north carolina,
2016,HS or Equivalent,31301,state,north dakota,
2016,HS or Equivalent,486901,state,ohio,
2016,HS or Equivalent,194831,state,oklahoma,
2016,HS or Equivalent,209960,state,oregon,
2016,HS or Equivalent,536119,state,pennsylvania,
2016,HS or Equivalent,53605,state,rhode island,
2016,HS or Equivalent,228124,state,south carolina,
2016,HS or Equivalent,38599,state,south dakota,
2016,HS or Equivalent,375748,state,tennessee,
2016,HS or Equivalent,1204427,state,texas,
2016,HS or Equivalent,100839,state,utah,
2016,HS or Equivalent,22918,state,vermont,
2016,HS or Equivalent,351686,state,virginia,
2016,HS or Equivalent,321042,state,washington,
2016,HS or Equivalent,115342,state,west virginia,
2016,HS or Equivalent,210853,state,wisconsin,
2016,HS or Equivalent,32266,state,wyoming,
2016,Less than HS,1579088,state,alabama,
2016,Less than HS,225233,state,alaska,
2016,Less than HS,2222107,state,arizona,
2016,Less than HS,986159,state,arkansas,
2016,Less than HS,13272683,state,california,
2016,Less than HS,1572453,state,colorado,
2016,Less than HS,965931,state,connecticut,
2016,Less than HS,272079,state,delaware,
2016,Less than HS,169060,state,district of columbia,
2016,Less than HS,5874805,state,florida,
2016,Less than HS,3437301,state,georgia,
2016,Less than HS,376917,state,hawaii,
2016,Less than HS,534641,state,idaho,
2016,Less than HS,3852008,state,illinois,
2016,Less than HS,2096841,state,indiana,
2016,Less than HS,900250,state,iowa,
2016,Less than HS,887443,state,kansas,
2016,Less than HS,1448318,state,kentucky,
2016,Less than HS,1612698,state,louisiana,
2016,Less than HS,331360,state,maine,
2016,Less than HS,1725429,state,maryland,
2016,Less than HS,1809987,state,massachusetts,
2016,Less than HS,2807281,state,michigan,
2016,Less than HS,1548136,state,minnesota,
2016,Less than HS,1027918,state,mississippi,
2016,Less than HS,1814457,state,missouri,
2016,Less than HS,280775,state,montana,
2016,Less than HS,583821,state,nebraska,
2016,Less than HS,936469,state,nevada,
2016,Less than HS,322707,state,new hampshire,
2016,Less than HS,2606677,state,new jersey,
2016,Less than HS,685172,state,new mexico,
2016,Less than HS,5879090,state,new york,
2016,Less than HS,3183627,state,north carolina,
2016,Less than HS,214736,state,north dakota,
2016,Less than HS,3377021,state,ohio,
2016,Less than HS,1285519,state,oklahoma,
2016,Less than HS,1124348,state,oregon,
2016,Less than HS,3539070,state,pennsylvania,
2016,Less than HS,290238,state,rhode island,
2016,Less than HS,1536240,state,south carolina,
2016,Less than HS,264057,state,south dakota,
2016,Less than HS,2073710,state,tennessee,
2016,Less than HS,10332701,state,texas,
2016,Less than HS,1059834,state,utah,
2016,Less than HS,154047,state,vermont,
2016,Less than HS,2462813,state,virginia,
2016,Less than HS,2080957,state,washington,
2016,Less than HS,555685,state,west virginia,
2016,Less than HS,1574166,state,wisconsin,
2016,Less than HS,168191,state,wyoming,
2016,Some College,1196111,state,alabama,
2016,Some College,197224,state,alaska,
2016,Some College,1871258,state,arizona,
2016,Some College,711843,state,arkansas,
2016,Some College,9515581,state,california,
2016,Some College,1347913,state,colorado,
2016,Some College,765307,state,connecticut,
2016,Some College,204708,state,delaware,
2016,Some College,108687,state,district of columbia,
2016,Some College,5189454,state,florida,
2016,Some College,2349307,state,georgia,
2016,Some College,366888,state,hawaii,
2016,Some College,453116,state,idaho,
2016,Some College,3057394,state,illinois,
2016,Some College,1553269,state,indiana,
2016,Some College,836938,state,iowa,
2016,Some College,733889,state,kansas,
2016,Some College,1083912,state,kentucky,
2016,Some College,1021966,state,louisiana,
2016,Some College,330362,state,maine,
2016,Some College,1296193,state,maryland,
2016,Some College,1415739,state,massachusetts,
2016,Some College,2712294,state,michigan,
2016,Some College,1479416,state,minnesota,
2016,Some College,760592,state,mississippi,
2016,Some College,1515966,state,missouri,
2016,Some College,277305,state,montana,
2016,Some College,495134,state,nebraska,
2016,Some College,778585,state,nevada,
2016,Some College,334057,state,new hampshire,
2016,Some College,1741157,state,new jersey,
2016,Some College,544295,state,new mexico,
2016,Some College,4218314,state,new york,
2016,Some College,2564603,state,north carolina,
2016,Some College,217499,state,north dakota,
2016,Some College,2761400,state,ohio,
2016,Some College,972148,state,oklahoma,
2016,Some College,1165515,state,oregon,
2016,Some College,2642667,state,pennsylvania,
2016,Some College,248415,state,rhode island,
2016,Some College,1229098,state,south carolina,
2016,Some College,229644,state,south dakota,
2016,Some College,1553127,state,tennessee,
2016,Some College,6367500,state,texas,
2016,Some College,832735,state,utah,
2016,Some College,150624,state,vermont,
2016,Some College,1922085,state,virginia,
2016,Some College,1959082,state,washington,
2016,Some College,402866,state,west virginia,
2016,Some College,1498074,state,wisconsin,
2016,Some College,168362,state,wyoming,
2017,College Degree or Higher,879612,state,alabama,
2017,College Degree or Higher,143970,state,alaska,
2017,College Degree or Higher,1422458,state,arizona,
2017,College Degree or Higher,493799,state,arkansas,
2017,College Degree or Higher,9396990,state,california,
2017,College Degree or Higher,1645415,state,colorado,
2017,College Degree or Higher,1018676,state,connecticut,
2017,College Degree or Higher,223017,state,delaware,
2017,College Degree or Higher,300250,state,district of columbia,
2017,College Degree or Higher,4604725,state,florida,
2017,College Degree or Higher,2229022,state,georgia,
2017,College Degree or Higher,338255,state,hawaii,
2017,College Degree or Higher,309104,state,idaho,
2017,College Degree or Higher,3145635,state,illinois,
2017,College Degree or Higher,1257766,state,indiana,
2017,College Degree or Higher,649447,state,iowa,
2017,College Degree or Higher,679753,state,kansas,
2017,College Degree or Higher,758973,state,kentucky,
2017,College Degree or Higher,783040,state,louisiana,
2017,College Degree or Higher,329571,state,maine,
2017,College Degree or Higher,1739356,state,maryland,
2017,College Degree or Higher,2215882,state,massachusetts,
2017,College Degree or Higher,2086163,state,michigan,
2017,College Degree or Higher,1421712,state,minnesota,
2017,College Degree or Higher,448446,state,mississippi,
2017,College Degree or Higher,1268209,state,missouri,
2017,College Degree or Higher,237151,state,montana,
2017,College Degree or Higher,414928,state,nebraska,
2017,College Degree or Higher,534570,state,nevada,
2017,College Degree or Higher,369993,state,new hampshire,
2017,College Degree or Higher,2608791,state,new jersey,
2017,College Degree or Higher,393757,state,new mexico,
2017,College Degree or Higher,5328136,state,new york,
2017,College Degree or Higher,2294248,state,north carolina,
2017,College Degree or Higher,163565,state,north dakota,
2017,College Degree or Higher,2349720,state,ohio,
2017,College Degree or Higher,685501,state,oklahoma,
2017,College Degree or Higher,1009319,state,oregon,
2017,College Degree or Higher,2991927,state,pennsylvania,
2017,College Degree or Higher,261899,state,rhode island,
2017,College Degree or Higher,1007121,state,south carolina,
2017,College Degree or Higher,167620,state,south dakota,
2017,College Degree or Higher,1318865,state,tennessee,
2017,College Degree or Higher,5619207,state,texas,
2017,College Degree or Higher,650380,state,utah,
2017,College Degree or Higher,173224,state,vermont,
2017,College Degree or Higher,2361338,state,virginia,
2017,College Degree or Higher,1892776,state,washington,
2017,College Degree or Higher,269929,state,west virginia,
2017,College Degree or Higher,1269013,state,wisconsin,
2017,College Degree or Higher,109384,state,wyoming,
2017,HS or Equivalent,267983,state,alabama,
2017,HS or Equivalent,37148,state,alaska,
2017,HS or Equivalent,327610,state,arizona,
2017,HS or Equivalent,181668,state,arkansas,
2017,HS or Equivalent,1502471,state,california,
2017,HS or Equivalent,233418,state,colorado,
2017,HS or Equivalent,134472,state,connecticut,
2017,HS or Equivalent,35500,state,delaware,
2017,HS or Equivalent,18177,state,district of columbia,
2017,HS or Equivalent,1044274,state,florida,
2017,HS or Equivalent,509608,state,georgia,
2017,HS or Equivalent,47291,state,hawaii,
2017,HS or Equivalent,93203,state,idaho,
2017,HS or Equivalent,535378,state,illinois,
2017,HS or Equivalent,347875,state,indiana,
2017,HS or Equivalent,118799,state,iowa,
2017,HS or Equivalent,108947,state,kansas,
2017,HS or Equivalent,274076,state,kentucky,
2017,HS or Equivalent,246281,state,louisiana,
2017,HS or Equivalent,61913,state,maine,
2017,HS or Equivalent,220553,state,maryland,
2017,HS or Equivalent,219457,state,massachusetts,
2017,HS or Equivalent,428972,state,michigan,
2017,HS or Equivalent,193644,state,minnesota,
2017,HS or Equivalent,185813,state,mississippi,
2017,HS or Equivalent,276972,state,missouri,
2017,HS or Equivalent,51499,state,montana,
2017,HS or Equivalent,70762,state,nebraska,
2017,HS or Equivalent,154433,state,nevada,
2017,HS or Equivalent,60916,state,new hampshire,
2017,HS or Equivalent,293395,state,new jersey,
2017,HS or Equivalent,99639,state,new mexico,
2017,HS or Equivalent,967946,state,new york,
2017,HS or Equivalent,427442,state,north carolina,
2017,HS or Equivalent,29685,state,north dakota,
2017,HS or Equivalent,485234,state,ohio,
2017,HS or Equivalent,200421,state,oklahoma,
2017,HS or Equivalent,205244,state,oregon,
2017,HS or Equivalent,512956,state,pennsylvania,
2017,HS or Equivalent,55200,state,rhode island,
2017,HS or Equivalent,242558,state,south carolina,
2017,HS or Equivalent,36160,state,south dakota,
2017,HS or Equivalent,360792,state,tennessee,
2017,HS or Equivalent,1228901,state,texas,
2017,HS or Equivalent,104794,state,utah,
2017,HS or Equivalent,24448,state,vermont,
2017,HS or Equivalent,334904,state,virginia,
2017,HS or Equivalent,313339,state,washington,
2017,HS or Equivalent,109620,state,west virginia,
2017,HS or Equivalent,218607,state,wisconsin,
2017,HS or Equivalent,29440,state,wyoming,
2017,Less than HS,1540280,state,alabama,
2017,Less than HS,231641,state,alaska,
2017,Less than HS,2213798,state,arizona,
2017,Less than HS,965783,state,arkansas,
2017,Less than HS,12958854,state,california,
2017,Less than HS,1559849,state,colorado,
2017,Less than HS,961827,state,connecticut,
2017,Less than HS,263318,state,delaware,
2017,Less than HS,171258,state,district of columbia,
2017,Less than HS,5804762,state,florida,
2017,Less than HS,3403301,state,georgia,
2017,Less than HS,374778,state,hawaii,
2017,Less than HS,534293,state,idaho,
2017,Less than HS,3797457,state,illinois,
2017,Less than HS,2075664,state,indiana,
2017,Less than HS,895985,state,iowa,
2017,Less than HS,880676,state,kansas,
2017,Less than HS,1409790,state,kentucky,
2017,Less than HS,1586614,state,louisiana,
2017,Less than HS,324047,state,maine,
2017,Less than HS,1724634,state,maryland,
2017,Less than HS,1800842,state,massachusetts,
2017,Less than HS,2760341,state,michigan,
2017,Less than HS,1542614,state,minnesota,
2017,Less than HS,1011408,state,mississippi,
2017,Less than HS,1806080,state,missouri,
2017,Less than HS,281984,state,montana,
2017,Less than HS,581091,state,nebraska,
2017,Less than HS,922473,state,nevada,
2017,Less than HS,316879,state,new hampshire,
2017,Less than HS,2529259,state,new jersey,
2017,Less than HS,686432,state,new mexico,
2017,Less than HS,5821010,state,new york,
2017,Less than HS,3146249,state,north carolina,
2017,Less than HS,206915,state,north dakota,
2017,Less than HS,3344784,state,ohio,
2017,Less than HS,1264681,state,oklahoma,
2017,Less than HS,1132401,state,oregon,
2017,Less than HS,3482742,state,pennsylvania,
2017,Less than HS,286275,state,rhode island,
2017,Less than HS,1510202,state,south carolina,
2017,Less than HS,261155,state,south dakota,
2017,Less than HS,2059435,state,tennessee,
2017,Less than HS,10320435,state,texas,
2017,Less than HS,1058625,state,utah,
2017,Less than HS,148335,state,vermont,
2017,Less than HS,2432577,state,virginia,
2017,Less than HS,2068261,state,washington,
2017,Less than HS,539904,state,west virginia,
2017,Less than HS,1562713,state,wisconsin,
2017,Less than HS,165165,state,wyoming,
2017,Some College,1188871,state,alabama,
2017,Some College,200036,state,alaska,
2017,Some College,1885231,state,arizona,
2017,Some College,718385,state,arkansas,
2017,Some College,9585190,state,california,
2017,Some College,1345314,state,colorado,
2017,Some College,773412,state,connecticut,
2017,Some College,220147,state,delaware,
2017,Some College,113510,state,district of columbia,
2017,Some College,5295309,state,florida,
2017,Some College,2362802,state,georgia,
2017,Some College,354385,state,hawaii,
2017,Some College,471107,state,idaho,
2017,Some College,3047277,state,illinois,
2017,Some College,1560902,state,indiana,
2017,Some College,851058,state,iowa,
2017,Some College,742422,state,kansas,
2017,Some College,1057778,state,kentucky,
2017,Some College,1048420,state,louisiana,
2017,Some College,334908,state,maine,
2017,Some College,1317687,state,maryland,
2017,Some College,1407979,state,massachusetts,
2017,Some College,2692718,state,michigan,
2017,Some College,1472396,state,minnesota,
2017,Some College,782609,state,mississippi,
2017,Some College,1513920,state,missouri,
2017,Some College,280088,state,montana,
2017,Some College,509644,state,nebraska,
2017,Some College,773319,state,nevada,
2017,Some College,327183,state,new hampshire,
2017,Some College,1797200,state,new jersey,
2017,Some College,539893,state,new mexico,
2017,Some College,4200488,state,new york,
2017,Some College,2603926,state,north carolina,
2017,Some College,218041,state,north dakota,
2017,Some College,2796162,state,ohio,
2017,Some College,973011,state,oklahoma,
2017,Some College,1151673,state,oregon,
2017,Some College,2662814,state,pennsylvania,
2017,Some College,242657,state,rhode island,
2017,Some College,1252876,state,south carolina,
2017,Some College,233412,state,south dakota,
2017,Some College,1544237,state,tennessee,
2017,Some College,6467412,state,texas,
2017,Some College,830895,state,utah,
2017,Some College,137232,state,vermont,
2017,Some College,1928971,state,virginia,
2017,Some College,2004131,state,washington,
2017,Some College,393453,state,west virginia,
2017,Some College,1487235,state,wisconsin,
2017,Some College,163403,state,wyoming,
2018,College Degree or Higher,880686,state,alabama,
2018,College Degree or Higher,150120,state,alaska,
2018,College Degree or Higher,1493129,state,arizona,
2018,College Degree or Higher,494079,state,arkansas,
2018,College Degree or Higher,9647483,state,california,
2018,College Degree or Higher,1715407,state,colorado,
2018,College Degree or Higher,1045326,state,connecticut,
2018,College Degree or Higher,219242,state,delaware,
2018,College Degree or Higher,321313,state,district of columbia,
2018,College Degree or Higher,4829364,state,florida,
2018,College Degree or Higher,2339497,state,georgia,
2018,College Degree or Higher,344624,state,hawaii,
2018,College Degree or Higher,324843,state,idaho,
2018,College Degree or Higher,3236193,state,illinois,
2018,College Degree or Higher,1268655,state,indiana,
2018,College Degree or Higher,641653,state,iowa,
2018,College Degree or Higher,671542,state,kansas,
2018,College Degree or Higher,803772,state,kentucky,
2018,College Degree or Higher,792465,state,louisiana,
2018,College Degree or Higher,315156,state,maine,
2018,College Degree or Higher,1781062,state,maryland,
2018,College Degree or Higher,2281777,state,massachusetts,
2018,College Degree or Higher,2140156,state,michigan,
2018,College Degree or Higher,1488779,state,minnesota,
2018,College Degree or Higher,485104,state,mississippi,
2018,College Degree or Higher,1302168,state,missouri,
