year,race_recode,count,area_type,statefip,countyfip
2015,Hispanic OAPI,2210,state,massachusetts,
2015,Hispanic OAPI,489,state,michigan,
2015,Hispanic OAPI,960,state,minnesota,
2015,Hispanic OAPI,1744,state,missouri,
2015,Hispanic OAPI,657,state,montana,
2015,Hispanic OAPI,604,state,nebraska,
2015,Hispanic OAPI,4567,state,nevada,
2015,Hispanic OAPI,6499,state,new jersey,
2015,Hispanic OAPI,1232,state,new mexico,
2015,Hispanic OAPI,10212,state,new york,
2015,Hispanic OAPI,3899,state,north carolina,
2015,Hispanic OAPI,421,state,north dakota,
2015,Hispanic OAPI,3216,state,ohio,
2015,Hispanic OAPI,973,state,oklahoma,
2015,Hispanic OAPI,2491,state,oregon,
2015,Hispanic OAPI,5840,state,pennsylvania,
2015,Hispanic OAPI,532,state,rhode island,
2015,Hispanic OAPI,332,state,south carolina,
2015,Hispanic OAPI,16,state,south dakota,
2015,Hispanic OAPI,409,state,tennessee,
2015,Hispanic OAPI,8872,state,texas,
2015,Hispanic OAPI,735,state,utah,
2015,Hispanic OAPI,264,state,vermont,
2015,Hispanic OAPI,4740,state,virginia,
2015,Hispanic OAPI,4555,state,washington,
2015,Hispanic OAPI,65,state,west virginia,
2015,Hispanic OAPI,1551,state,wisconsin,
2015,Hispanic OAPI,54,state,wyoming,
2015,Hispanic Other Multiple,7119,state,alabama,
2015,Hispanic Other Multiple,7621,state,alaska,
2015,Hispanic Other Multiple,84375,state,arizona,
2015,Hispanic Other Multiple,6755,state,arkansas,
2015,Hispanic Other Multiple,654006,state,california,
2015,Hispanic Other Multiple,60443,state,colorado,
2015,Hispanic Other Multiple,41673,state,connecticut,
2015,Hispanic Other Multiple,5241,state,delaware,
2015,Hispanic Other Multiple,4955,state,district of columbia,
2015,Hispanic Other Multiple,145064,state,florida,
2015,Hispanic Other Multiple,54595,state,georgia,
2015,Hispanic Other Multiple,70511,state,hawaii,
2015,Hispanic Other Multiple,10893,state,idaho,
2015,Hispanic Other Multiple,70255,state,illinois,
2015,Hispanic Other Multiple,22027,state,indiana,
2015,Hispanic Other Multiple,5699,state,iowa,
2015,Hispanic Other Multiple,13834,state,kansas,
2015,Hispanic Other Multiple,7043,state,kentucky,
2015,Hispanic Other Multiple,16146,state,louisiana,
2015,Hispanic Other Multiple,1151,state,maine,
2015,Hispanic Other Multiple,28442,state,maryland,
2015,Hispanic Other Multiple,66388,state,massachusetts,
2015,Hispanic Other Multiple,40955,state,michigan,
2015,Hispanic Other Multiple,22455,state,minnesota,
2015,Hispanic Other Multiple,5596,state,mississippi,
2015,Hispanic Other Multiple,16020,state,missouri,
2015,Hispanic Other Multiple,2493,state,montana,
2015,Hispanic Other Multiple,6914,state,nebraska,
2015,Hispanic Other Multiple,38141,state,nevada,
2015,Hispanic Other Multiple,1211,state,new hampshire,
2015,Hispanic Other Multiple,86470,state,new jersey,
2015,Hispanic Other Multiple,39147,state,new mexico,
2015,Hispanic Other Multiple,220397,state,new york,
2015,Hispanic Other Multiple,43239,state,north carolina,
2015,Hispanic Other Multiple,1212,state,north dakota,
2015,Hispanic Other Multiple,38446,state,ohio,
2015,Hispanic Other Multiple,30283,state,oklahoma,
2015,Hispanic Other Multiple,37502,state,oregon,
2015,Hispanic Other Multiple,64174,state,pennsylvania,
2015,Hispanic Other Multiple,9765,state,rhode island,
2015,Hispanic Other Multiple,12098,state,south carolina,
2015,Hispanic Other Multiple,2301,state,south dakota,
2015,Hispanic Other Multiple,13669,state,tennessee,
2015,Hispanic Other Multiple,263960,state,texas,
2015,Hispanic Other Multiple,18394,state,utah,
2015,Hispanic Other Multiple,272,state,vermont,
2015,Hispanic Other Multiple,56438,state,virginia,
2015,Hispanic Other Multiple,67263,state,washington,
2015,Hispanic Other Multiple,2048,state,west virginia,
2015,Hispanic Other Multiple,25946,state,wisconsin,
2015,Hispanic Other Multiple,2420,state,wyoming,
2015,Hispanic Other Race,44914,state,alabama,
2015,Hispanic Other Race,8553,state,alaska,
2015,Hispanic Other Race,469555,state,arizona,
2015,Hispanic Other Race,61068,state,arkansas,
2015,Hispanic Other Race,5219281,state,california,
2015,Hispanic Other Race,196476,state,colorado,
2015,Hispanic Other Race,175843,state,connecticut,
2015,Hispanic Other Race,12012,state,delaware,
2015,Hispanic Other Race,35945,state,district of columbia,
2015,Hispanic Other Race,471422,state,florida,
2015,Hispanic Other Race,245789,state,georgia,
2015,Hispanic Other Race,7507,state,hawaii,
2015,Hispanic Other Race,37858,state,idaho,
2015,Hispanic Other Race,744704,state,illinois,
2015,Hispanic Other Race,129833,state,indiana,
2015,Hispanic Other Race,36028,state,iowa,
2015,Hispanic Other Race,67205,state,kansas,
2015,Hispanic Other Race,33162,state,kentucky,
2015,Hispanic Other Race,41848,state,louisiana,
2015,Hispanic Other Race,3940,state,maine,
2015,Hispanic Other Race,226600,state,maryland,
2015,Hispanic Other Race,231877,state,massachusetts,
2015,Hispanic Other Race,105037,state,michigan,
2015,Hispanic Other Race,76608,state,minnesota,
2015,Hispanic Other Race,23777,state,mississippi,
2015,Hispanic Other Race,62936,state,missouri,
2015,Hispanic Other Race,4813,state,montana,
2015,Hispanic Other Race,34591,state,nebraska,
2015,Hispanic Other Race,254959,state,nevada,
2015,Hispanic Other Race,4411,state,new hampshire,
2015,Hispanic Other Race,548957,state,new jersey,
2015,Hispanic Other Race,203918,state,new mexico,
2015,Hispanic Other Race,1638268,state,new york,
2015,Hispanic Other Race,283880,state,north carolina,
2015,Hispanic Other Race,3950,state,north dakota,
2015,Hispanic Other Race,79677,state,ohio,
2015,Hispanic Other Race,101967,state,oklahoma,
2015,Hispanic Other Race,106431,state,oregon,
2015,Hispanic Other Race,216790,state,pennsylvania,
2015,Hispanic Other Race,56012,state,rhode island,
2015,Hispanic Other Race,67841,state,south carolina,
2015,Hispanic Other Race,9198,state,south dakota,
2015,Hispanic Other Race,78758,state,tennessee,
2015,Hispanic Other Race,1431151,state,texas,
2015,Hispanic Other Race,138085,state,utah,
2015,Hispanic Other Race,1039,state,vermont,
2015,Hispanic Other Race,171307,state,virginia,
2015,Hispanic Other Race,279642,state,washington,
2015,Hispanic Other Race,2859,state,west virginia,
2015,Hispanic Other Race,90110,state,wisconsin,
2015,Hispanic Other Race,10458,state,wyoming,
2015,Hispanic White,128559,state,alabama,
2015,Hispanic White,30669,state,alaska,
2015,Hispanic White,1490563,state,arizona,
2015,Hispanic White,134771,state,arkansas,
2015,Hispanic White,8978250,state,california,
2015,Hispanic White,869922,state,colorado,
2015,Hispanic White,311084,state,connecticut,
2015,Hispanic White,63787,state,delaware,
2015,Hispanic White,25148,state,district of columbia,
2015,Hispanic White,4190998,state,florida,
2015,Hispanic White,595954,state,georgia,
2015,Hispanic White,47336,state,hawaii,
2015,Hispanic White,145323,state,idaho,
2015,Hispanic White,1304944,state,illinois,
2015,Hispanic White,273021,state,indiana,
2015,Hispanic White,125880,state,iowa,
2015,Hispanic White,244525,state,kansas,
2015,Hispanic White,98072,state,kentucky,
2015,Hispanic White,157076,state,louisiana,
2015,Hispanic White,13938,state,maine,
2015,Hispanic White,283980,state,maryland,
2015,Hispanic White,412225,state,massachusetts,
2015,Hispanic White,316491,state,michigan,
2015,Hispanic White,169855,state,minnesota,
2015,Hispanic White,53166,state,mississippi,
2015,Hispanic White,148204,state,missouri,
2015,Hispanic White,26848,state,montana,
2015,Hispanic White,149530,state,nebraska,
2015,Hispanic White,496018,state,nevada,
2015,Hispanic White,37173,state,new hampshire,
2015,Hispanic White,1042002,state,new jersey,
2015,Hispanic White,734057,state,new mexico,
2015,Hispanic White,1580517,state,new york,
2015,Hispanic White,536490,state,north carolina,
2015,Hispanic White,17845,state,north dakota,
2015,Hispanic White,264143,state,ohio,
2015,Hispanic White,244276,state,oklahoma,
2015,Hispanic White,346546,state,oregon,
2015,Hispanic White,498882,state,pennsylvania,
2015,Hispanic White,77672,state,rhode island,
2015,Hispanic White,167257,state,south carolina,
2015,Hispanic White,14720,state,south dakota,
2015,Hispanic White,230595,state,tennessee,
2015,Hispanic White,8796153,state,texas,
2015,Hispanic White,243858,state,utah,
2015,Hispanic White,8655,state,vermont,
2015,Hispanic White,479810,state,virginia,
2015,Hispanic White,516661,state,washington,
2015,Hispanic White,21326,state,west virginia,
2015,Hispanic White,254102,state,wisconsin,
2015,Hispanic White,43732,state,wyoming,
2015,Non-Hispanic AIAN,17332,state,alabama,
2015,Non-Hispanic AIAN,101214,state,alaska,
2015,Non-Hispanic AIAN,276564,state,arizona,
2015,Non-Hispanic AIAN,18976,state,arkansas,
2015,Non-Hispanic AIAN,135852,state,california,
2015,Non-Hispanic AIAN,27011,state,colorado,
2015,Non-Hispanic AIAN,4298,state,connecticut,
2015,Non-Hispanic AIAN,2446,state,delaware,
2015,Non-Hispanic AIAN,1281,state,district of columbia,
2015,Non-Hispanic AIAN,32259,state,florida,
2015,Non-Hispanic AIAN,16146,state,georgia,
2015,Non-Hispanic AIAN,2169,state,hawaii,
2015,Non-Hispanic AIAN,19012,state,idaho,
2015,Non-Hispanic AIAN,13501,state,illinois,
2015,Non-Hispanic AIAN,13266,state,indiana,
2015,Non-Hispanic AIAN,9792,state,iowa,
2015,Non-Hispanic AIAN,18776,state,kansas,
2015,Non-Hispanic AIAN,8419,state,kentucky,
2015,Non-Hispanic AIAN,21070,state,louisiana,
2015,Non-Hispanic AIAN,6671,state,maine,
2015,Non-Hispanic AIAN,9494,state,maryland,
2015,Non-Hispanic AIAN,7308,state,massachusetts,
2015,Non-Hispanic AIAN,41430,state,michigan,
2015,Non-Hispanic AIAN,51127,state,minnesota,
2015,Non-Hispanic AIAN,11086,state,mississippi,
2015,Non-Hispanic AIAN,23519,state,missouri,
2015,Non-Hispanic AIAN,66068,state,montana,
2015,Non-Hispanic AIAN,16441,state,nebraska,
2015,Non-Hispanic AIAN,23816,state,nevada,
2015,Non-Hispanic AIAN,1727,state,new hampshire,
2015,Non-Hispanic AIAN,7955,state,new jersey,
2015,Non-Hispanic AIAN,178919,state,new mexico,
2015,Non-Hispanic AIAN,42789,state,new york,
2015,Non-Hispanic AIAN,105810,state,north carolina,
2015,Non-Hispanic AIAN,37049,state,north dakota,
2015,Non-Hispanic AIAN,15229,state,ohio,
2015,Non-Hispanic AIAN,268409,state,oklahoma,
2015,Non-Hispanic AIAN,39094,state,oregon,
2015,Non-Hispanic AIAN,13359,state,pennsylvania,
2015,Non-Hispanic AIAN,3332,state,rhode island,
2015,Non-Hispanic AIAN,13782,state,south carolina,
2015,Non-Hispanic AIAN,65266,state,south dakota,
2015,Non-Hispanic AIAN,19147,state,tennessee,
2015,Non-Hispanic AIAN,62621,state,texas,
2015,Non-Hispanic AIAN,31764,state,utah,
2015,Non-Hispanic AIAN,2295,state,vermont,
2015,Non-Hispanic AIAN,15712,state,virginia,
2015,Non-Hispanic AIAN,82723,state,washington,
2015,Non-Hispanic AIAN,1625,state,west virginia,
2015,Non-Hispanic AIAN,48876,state,wisconsin,
2015,Non-Hispanic AIAN,11176,state,wyoming,
2015,Non-Hispanic Black,1297795,state,alabama,
2015,Non-Hispanic Black,25446,state,alaska,
2015,Non-Hispanic Black,279072,state,arizona,
2015,Non-Hispanic Black,468676,state,arkansas,
2015,Non-Hispanic Black,2184604,state,california,
2015,Non-Hispanic Black,217089,state,colorado,
2015,Non-Hispanic Black,359405,state,connecticut,
2015,Non-Hispanic Black,201228,state,delaware,
2015,Non-Hispanic Black,313065,state,district of columbia,
2015,Non-Hispanic Black,3149598,state,florida,
2015,Non-Hispanic Black,3161626,state,georgia,
2015,Non-Hispanic Black,27094,state,hawaii,
2015,Non-Hispanic Black,9337,state,idaho,
2015,Non-Hispanic Black,1815712,state,illinois,
2015,Non-Hispanic Black,604443,state,indiana,
2015,Non-Hispanic Black,101969,state,iowa,
2015,Non-Hispanic Black,169084,state,kansas,
2015,Non-Hispanic Black,354268,state,kentucky,
2015,Non-Hispanic Black,1503978,state,louisiana,
2015,Non-Hispanic Black,14752,state,maine,
2015,Non-Hispanic Black,1736619,state,maryland,
2015,Non-Hispanic Black,456162,state,massachusetts,
2015,Non-Hispanic Black,1375244,state,michigan,
2015,Non-Hispanic Black,314087,state,minnesota,
2015,Non-Hispanic Black,1130884,state,mississippi,
2015,Non-Hispanic Black,704118,state,missouri,
2015,Non-Hispanic Black,5066,state,montana,
2015,Non-Hispanic Black,93005,state,nebraska,
2015,Non-Hispanic Black,238747,state,nevada,
2015,Non-Hispanic Black,16936,state,new hampshire,
2015,Non-Hispanic Black,1131786,state,new jersey,
2015,Non-Hispanic Black,38261,state,new mexico,
2015,Non-Hispanic Black,2842224,state,new york,
2015,Non-Hispanic Black,2154370,state,north carolina,
2015,Non-Hispanic Black,12718,state,north dakota,
2015,Non-Hispanic Black,1405836,state,ohio,
2015,Non-Hispanic Black,281213,state,oklahoma,
2015,Non-Hispanic Black,71288,state,oregon,
2015,Non-Hispanic Black,1342289,state,pennsylvania,
2015,Non-Hispanic Black,56307,state,rhode island,
2015,Non-Hispanic Black,1331148,state,south carolina,
2015,Non-Hispanic Black,12362,state,south dakota,
2015,Non-Hispanic Black,1106335,state,tennessee,
2015,Non-Hispanic Black,3224851,state,texas,
2015,Non-Hispanic Black,33300,state,utah,
2015,Non-Hispanic Black,8597,state,vermont,
2015,Non-Hispanic Black,1581949,state,virginia,
2015,Non-Hispanic Black,254271,state,washington,
2015,Non-Hispanic Black,69413,state,west virginia,
2015,Non-Hispanic Black,357819,state,wisconsin,
2015,Non-Hispanic Black,4805,state,wyoming,
2015,Non-Hispanic Chinese,9920,state,alabama,
2015,Non-Hispanic Chinese,2225,state,alaska,
2015,Non-Hispanic Chinese,38918,state,arizona,
2015,Non-Hispanic Chinese,7985,state,arkansas,
2015,Non-Hispanic Chinese,1488063,state,california,
2015,Non-Hispanic Chinese,36164,state,colorado,
2015,Non-Hispanic Chinese,38067,state,connecticut,
2015,Non-Hispanic Chinese,6495,state,delaware,
2015,Non-Hispanic Chinese,7171,state,district of columbia,
2015,Non-Hispanic Chinese,86491,state,florida,
2015,Non-Hispanic Chinese,54867,state,georgia,
2015,Non-Hispanic Chinese,60804,state,hawaii,
2015,Non-Hispanic Chinese,7043,state,idaho,
2015,Non-Hispanic Chinese,138035,state,illinois,
2015,Non-Hispanic Chinese,31755,state,indiana,
2015,Non-Hispanic Chinese,14189,state,iowa,
2015,Non-Hispanic Chinese,14832,state,kansas,
